Giá,Khoảng_giá_min,Khoảng_giá_max,Thương_hiệu,Dòng_xe,Số_Km_đã_đi,Loại_xe,Dung_tích_xe,Xuất_xứ,Tuổi_đời_xe,Km_per_Year,Text_Raw,is_hqcn,is_nhap_y,is_abs,is_smartkey,is_vip_plate,is_zin,is_chinh_chu
66000000.0,72.53 tr,85.14 tr,Piaggio,Vespa,14000,Tay ga,100 - 175 cc,Không rõ,2,4666.666666666667,bán vespa sprint 125cc 2024 xanh dương xe đẹp 95 bán xe vespa sprint 125cc mua mới tại topcom 01 2024 xe chính chủ chạy được 14 000km giá 66tr tl anh chị quan tâm nhắn zalo số công chứng hợp đồng mua bán trong ngày,0,0,0,0,0,0,1
79500000.0,62.76 tr,73.68 tr,Honda,SH,28000,Tay ga,100 - 175 cc,Không rõ,7,3500.0,sh 150i thắng abs 2019 bstp chính chủ _bán sh 150i thắng abs 2019 xám bạc úp team xám xi măng _xe nhà sử dụng kỹ ít đi chính chủ biển số thành phố _xe mới keng máy móc nguyên zin êm bốc ae qua xe xem test thoải mái _mua bán tại nhà sang tên ký giấy 1 nốt nhạc _xem xe tại nhà tân sơn nhì p tân sơn nhì q tân phú,0,1,1,0,0,1,1
37000000.0,28 tr,32.86 tr,Honda,Vision,12000,Tay ga,100 - 175 cc,Không rõ,3,3000.0,cc vision thể thao 2023 đen bộ đèn demi audi a7 chính chủ bán vision phiên bản thể thao 2023 đen xe mua chính hãng tháng 10 2023 bảo dưỡng đầy đủ xe gia đình đi giữ gìn xe đã độ lên đèn demi led audi a7 và đèn hậu led audi a7 giá thị trường 5tr còn nguyên đèn mới zin theo xe liên hệ chính chủ 09xau xau 5 7 năm 3 sáu 7,0,0,0,0,0,1,1
45000000.0,43.1 tr,50.6 tr,Piaggio,Vespa,60000,Tay ga,100 - 175 cc,Không rõ,7,7500.0,vespa sprint 2019 125 đen đo sport chi nh chu xe ca nhân ba n xe do em đư ng tên chi nh chu chi tiê t hi nh a nh xe đa co đu câ n thi liên hê em sa n phâ m theo xe zin co n ki nh bao tay ca ng sau chi a kho a co n đu co fix thêm cho anh chi vê sơn dâ m la i xem xe chi tiê t quâ n 1 liên hê trao đô i qua gia lô không 933940 bô n ba hai,0,0,0,0,0,1,0
23000000.0,17.02 tr,19.98 tr,Yamaha,Dòng_Khác,24000,Tay ga,100 - 175 cc,Nhật Bản,5,4000.0,xe tay ga yamaha latte 125 đăng ký 2021 thông tin xe dòng xe tay ga cao cấp yamaha latte 125 máy mạnh tiết kiệm xăng màu đen nhám phối yên nâu xe thuộc phiên bản cao cấp có hệ thống stop start system giúp tiết kiệm nhiên liệu và giảm khí thải odo hiện tại hơn 24 000 km bảo dưỡng đều máy móc vẫn rất ổn định đăng ký lần đầu tháng 3 2021 máy zin đề nhạy vận hành êm cốp xe rộng tiện để nón túi xách bánh còn tốt phanh an toàn đèn đóm đầy đủ quận 1 tp hcm xem xe trực tiếp tại nhà theo hẹn giá bán 23 triệu,0,1,0,0,0,1,0
7500000.0,7.73 tr,9.08 tr,SYM,Elegant,25000,Xe số,Dưới 50 cc,Không rõ,8,2777.777777777778,xe hoc sinh di hoc nay có bằng lái muốn bán lại xe cup 50cc không cần bằng lái chay im không hao xăng đề 1 cái chạy,0,0,0,0,0,0,0
16000000.0,13.83 tr,16.24 tr,Honda,Air Blade,80000,Tay ga,100 - 175 cc,Việt Nam,13,5714.285714285715,xe air blade 2013 xe air blade 2013 bst số km 80 000 xe mới fix giá cả thương lượng thêm,0,0,0,0,0,0,0
7300000.0,10.08 tr,11.83 tr,Honda,Wave,2,Xe số,50 - 100 cc,Không rõ,23,0.08333333333333333,bán xe wave hq up dàn áo leng keng cục máy làm chạy nhẹ xe dàn áo còn keng bstp bao tranh chấp gtdd 09c giá 7tr3 fix xăng cộ ae xem xe cô dì chú bán ae ưng ý thì kb zalo eml,0,1,0,0,0,0,0
7500000.0,6.97 tr,8.19 tr,Yamaha,Sirius,35000,Xe số,100 - 175 cc,Việt Nam,11,2916.6666666666665,cần bán xe để đối xe nên để giá yêu thương xe chính chủ xe chạy còn ngon máy mạnh bị bể bửng trước lh,0,0,0,0,0,0,1
33000000.0,27.45 tr,32.22 tr,Honda,Lead,20000,Tay ga,100 - 175 cc,Việt Nam,6,2857.1428571428573,xe honda lead 2020 bstp bản giới hạn đèn led mình đi xuất cảnh định cư nên cần bán chiếc xe honda lead 2020 bstp xe nhà ít đi bảo dưỡng đầy đủ nên xe còn rất mới zin từ trong ra ngoài nước sơn zin ko dặm tút máy móc zin êm chạy rất mạnh và nhẹ ga xe này mua về là đi thôi ko phải làm gì hết xe sài smakey còn đủ 2 kính xe màu đỏ đô tới xem xe phát hiện ra chổ nào ko zin hoặc dậm tút tặng luôn xe mình là nguoi dùng bán chứ ko phải cò lái giấy tờ hợp pháp mua bán ra phòng công chứng công chứng sang tên luôn,0,0,0,0,0,1,0
