Giá,Khoảng_giá_min,Khoảng_giá_max,Thương_hiệu,Dòng_xe,Số_Km_đã_đi,Loại_xe,Dung_tích_xe,Xuất_xứ,Tuổi_đời_xe,Km_per_Year,Text_Raw,is_hqcn,is_nhap_y,is_abs,is_smartkey,is_vip_plate,is_zin,is_chinh_chu,Giá_Dự_Đoán,Residuals
45000000.0,41.69 tr,48.94 tr,Piaggio,Vespa,20000,Tay ga,100 - 175 cc,Việt Nam,7,2500.0,vespa sprint iget 125abs chính chủ nguyên zinnn mình cần nhượng lại vespa chính chủ chưa 1 lần sửa chữa máy êm nguyên zin xe nữ chạy chủ yếu đi làm odo chuẩn 20km xe máy iget nên tiết kiệm xăng và chạy êm hơn mấy đời trước rất nhiều xe biển số tỉnh ạ ace thiện chí mình sẽ fix thêm nhé,0,0,1,0,0,1,1,45802164.846592,-802164.8465920016
20500000.0,17.47 tr,20.51 tr,Honda,Vision,35000,Tay ga,100 - 175 cc,Việt Nam,9,3500.0,bán xe vision 2017 xe chính chủ biển số tphcm xe nữ đi cẩn thận xe zin màu đỏ xem xe tại tp thủ đức liên hệ,0,0,0,0,0,1,1,17718105.035357784,2781894.9646422155
2500000.0,10.41 tr,12.22 tr,Honda,Dream,100,Xe số,100 - 175 cc,Hàn Quốc,21,4.545454545454546,xe đi làm giá hạt dẻ bỏ phố về quê dư con xe giá sinh viên ae mua về đi làm bao chạy nhé chỉ việc đổ xăng thôi bình đề đây đủ chở hàng thoải mái,0,0,0,0,0,0,0,10418647.0816291,-7918647.081629099
8000000.0,7.4 tr,8.69 tr,SYM,Dòng khác,46000,Xe số,100 - 175 cc,Việt Nam,8,5111.111111111111,xe sym angel ii 110cc còn mới đẹp đi êm xe sym angel ii năm 2018 bao đi xa bánh mâm không sợ cán đinh xe dùng kỹ thay nhớt định kỳ đầy đủ còn rất mới và đẹp thắng đĩa điện đề còi đèn tốt nói chung không chút lỗi lầm mua về chỉ việc sử dụng xe chính chủ công chứng nhanh gọn tôi là chính chủ bán xe phù hợp các bạn sinh viên học sinh hay người đi làm cần xe bền cơ bản mà vẫn đẹp,0,0,0,0,0,0,1,7983749.10083701,16250.899162990041
35000000.0,34.36 tr,40.34 tr,Piaggio,Vespa,12000,Tay ga,100 - 175 cc,Việt Nam,9,1200.0,vespa primavera công chứng uỷ quyền không tranh chấp bao chạy mỗi tỉnh thành,0,0,0,0,0,0,0,44287269.73320791,-9287269.733207911
27500000.0,40.54 tr,47.59 tr,Honda,Vario,40000,Tay ga,100 - 175 cc,Nước khác,8,4444.444444444444,vario 2018 125cc bs71 không chính chủ cần bán vario 2018 125cc xe dàn ngoài đã dán decal đen full gốc áo đỏ đen mây móc êm zin đã làm nồi bô mua bán bao tranh chấp kèm cccd chủ xe cũ đang kẹt nên đã bán rẻ nhất chợ cho ae nhanh lẹ,0,0,0,0,0,1,1,39537393.38661423,-12037393.386614233
3200000.0,18.09 tr,21.23 tr,Honda,Wave,86532,Xe số,50 - 100 cc,Việt Nam,26,3204.8888888888887,wave tq nhà em có con xe wave tq giấy tờ đầy đủ máy móc hoạt động bình thường điện đề đèn nhan hoạt động tốt do nhà em dư xe muốn thanh lý lại ạ,0,1,0,0,0,0,0,9047367.49599951,-5847367.4959995095
33000000.0,28.14 tr,33.03 tr,Yamaha,TFX,36406,Tay côn/Moto,100 - 175 cc,Không rõ,9,3640.6,bán xe vợ đẻ do vợ bầu có nhu cầu mua xe khác nhẹ nhàng hơn nên nhượng lại anh em xe đi cùng tớ 1 chuyến xuyên việt từ sg về hưng yên vào dịp tết đi thẳng 1 mạch và không hỏng hóc bất cứ gì kể cả việc bể lốp có thời gian gửi xe ở chung cư nên thân xe có chút trầy xước như hình,0,0,0,0,0,0,0,23386725.413475327,9613274.586524673
18500000.0,16.83 tr,19.75 tr,Honda,Vision,80474,Tay ga,100 - 175 cc,Việt Nam,10,7315.818181818182,kẹt tiền bán xe tay ga vision nữ đi giữ kỹ kẹt tiền bán xe tay ga vision nữ đi giữ kỹ bảo trì hãng đầy đủ máy êm accu và vỏ sau mới thay loại tốt có khoá từ chống trộm giá rẻ chắc giá 16tr biển số sài gòn chính chủ chất xe 75,0,0,0,0,0,0,1,16872382.09833127,1627617.9016687311
3200000.0,24.46 tr,28.71 tr,Honda,Future,17000,Xe số,100 - 175 cc,Không rõ,15,1062.5,cần bán xe w giấy đầy đủ điện đề ok máy im ru cần bán xe như hình giấy đầy đủ điện đèn cồi ok máy im ru thắng ok mua về là đi ai cần a lô cam ơn,0,0,0,0,0,0,0,26276822.174004465,-23076822.174004465
