iter	RMSE
0	0.9553482046
1	0.9276238168
2	0.9019690812
3	0.8776733245
4	0.8552657409
5	0.8344372049
6	0.8144895517
7	0.7979764765
8	0.7803021568
9	0.7637659235
10	0.748825227
11	0.7343265851
12	0.720944821
13	0.7087493865
14	0.6968390517
15	0.6850664678
16	0.6743242642
17	0.6648719352
18	0.6555709781
19	0.6467347108
20	0.6390679758
21	0.6318817656
22	0.6247293136
23	0.6178313846
24	0.6116817813
25	0.6055487609
26	0.6001204154
27	0.5942855327
28	0.5899579053
29	0.5858134365
30	0.581712736
31	0.5775208205
32	0.5735128991
33	0.5697011869
34	0.566048836
35	0.562787874
36	0.559282744
37	0.5563139252
38	0.5534898186
39	0.5507037914
40	0.5483455183
41	0.5459025998
42	0.5438352208
43	0.5415410097
44	0.5387771542
45	0.5369434911
46	0.5350003637
47	0.5333153867
48	0.5313922716
49	0.5300571905
50	0.5279408461
51	0.5265922303
52	0.5248502675
53	0.523344113
54	0.5218952688
55	0.5203898162
56	0.5189068308
57	0.5176559348
58	0.5164416502
59	0.5150753776
60	0.5137149946
61	0.5127525016
62	0.5115608169
63	0.5099355548
64	0.509041249
65	0.5084273953
66	0.5075084415
67	0.5064807238
68	0.5052002096
69	0.5044178944
70	0.5038363614
71	0.5032179483
72	0.5025286643
73	0.5016689566
74	0.5009012401
75	0.5001746996
76	0.4993678998
77	0.4986430141
78	0.4978626052
79	0.4970012784
80	0.4956949938
81	0.4948469153
82	0.4938533546
83	0.4927032453
84	0.4919788323
85	0.4913158026
86	0.4907401786
87	0.4902493863
88	0.4896454238
89	0.4889527985
90	0.488478271
91	0.4876303943
92	0.4871148663
93	0.4861287374
94	0.4854623735
95	0.4847867957
96	0.4841908521
97	0.4834925213
98	0.482623714
99	0.4821264292
100	0.4816464625
101	0.4812243829
102	0.4806914211
103	0.4801889905
104	0.4796629086
105	0.4792301105
106	0.478556126
107	0.4778465971
108	0.4775128427
109	0.4768055925
110	0.4763001803
111	0.4756955663
112	0.475321122
113	0.4747093516
114	0.4741280824
115	0.4735144911
116	0.4729513458
117	0.4722610143
118	0.4716520742
119	0.4711681956
120	0.4705306192
121	0.4699925232
122	0.4695026622
123	0.4690175448
124	0.4685710324
125	0.4681802294
126	0.4679161633
127	0.4673690689
128	0.4670680802
129	0.4665770764
130	0.4662243015
131	0.4659101273
132	0.4655558652
133	0.4650004461
134	0.4645932655
135	0.4638786349
136	0.4634999584
137	0.463120304
138	0.4624850602
139	0.4620880932
140	0.4614849345
141	0.4611270966
142	0.4602810649
143	0.4597642892
144	0.4594983671
145	0.4591591795
146	0.4588348693
147	0.4586774226
148	0.4584368208
149	0.45815302
150	0.4578669107
151	0.4574637182
152	0.4571850435
153	0.4567882943
154	0.4563256238
155	0.4560345807
156	0.4555464177
157	0.4550110235
158	0.4546105088
159	0.4540289995
160	0.4533397623
161	0.4529770661
162	0.4527254829
163	0.4524829377
164	0.4520095148
165	0.4515160266
166	0.4514685985
167	0.4511725439
168	0.4508472734
169	0.4504190698
170	0.4501910222
171	0.4497327758
172	0.4494387549
173	0.4491013534
174	0.4488180715
175	0.4482645113
176	0.4479067434
177	0.4476323491
178	0.4471736381
179	0.446901439
180	0.4465625052
181	0.4462054537
182	0.4460377693
183	0.4457590085
184	0.4454605762
185	0.4447696951
186	0.4445219006
187	0.4441372981
188	0.4438303415
189	0.4432071227
190	0.4428797216
191	0.442544466
192	0.4421444476
193	0.4419049
194	0.4416809414
195	0.4413691691
196	0.4408048956
197	0.4402021796
198	0.4397429206
199	0.4395440484
200	0.4391694686
201	0.4386396979
202	0.4384216148
203	0.4380455481
204	0.4376138693
205	0.4372049031
206	0.4369978492
207	0.436716529
208	0.4363201968
209	0.4359559589
210	0.4357151304
211	0.4355493082
212	0.4352171776
213	0.4348714634
214	0.4345569281
215	0.4343948007
216	0.4340812116
217	0.4335159544
218	0.4331263089
219	0.4327805439
220	0.4325868061
221	0.4322531384
222	0.4318777337
223	0.431421519
224	0.4312417279
225	0.4307981105
226	0.4303607484
227	0.4302469667
228	0.4299785121
229	0.4296469805
230	0.4292083969
231	0.4289252041
232	0.4286412648
233	0.4284446195
234	0.4281608764
235	0.4278698586
236	0.4276804919
237	0.4272862576
238	0.4270140612
239	0.4266096005
240	0.4262734433
241	0.4259356677
242	0.4257048545
243	0.4254969595
244	0.4251299427
245	0.4245659284
246	0.4242431511
247	0.4239790383
248	0.423732287
249	0.4234261318
250	0.4231135934
251	0.4228185325
252	0.4224825827
253	0.4221774531
254	0.4219438461
255	0.4215976125
256	0.421275954
257	0.4210255138
258	0.420675073
259	0.4203604827
260	0.4198088797
261	0.4195053095
262	0.4192792706
263	0.4188907154
264	0.4185953332
265	0.4181475423
266	0.4178029645
267	0.4175666502
268	0.4172639877
269	0.4171186584
270	0.4168350847
271	0.4162018582
272	0.4160124155
273	0.4156363832
274	0.4154216616
275	0.4151312749
276	0.4147557443
277	0.414582154
278	0.4144265123
279	0.4141261409
280	0.4139496026
281	0.4137216774
282	0.4134655612
283	0.4131296136
284	0.412835108
285	0.4126669656
286	0.4124366286
287	0.412210405
288	0.4119788387
289	0.4118010685
290	0.4116672369
291	0.4113637983
292	0.4110559045
293	0.4107553867
294	0.4106354019
295	0.410463567
296	0.4101825329
297	0.4098495586
298	0.4096018132
299	0.4093468074
