iter	Passed	Remaining
0	8	2502
1	15	2262
2	19	1959
3	24	1848
4	30	1826
5	35	1738
6	40	1675
7	41	1517
8	45	1482
9	50	1452
10	54	1435
11	59	1420
12	63	1404
13	67	1387
14	72	1373
15	76	1361
16	82	1370
17	86	1358
18	91	1349
19	95	1339
20	100	1331
21	104	1322
22	109	1315
23	113	1307
24	118	1298
25	122	1290
26	126	1283
27	131	1275
28	135	1269
29	140	1261
30	144	1251
31	148	1244
32	153	1239
33	157	1233
34	162	1228
35	166	1223
36	171	1216
37	175	1208
38	179	1202
39	184	1196
40	188	1190
41	193	1185
42	197	1179
43	201	1174
44	206	1168
45	210	1163
46	215	1158
47	219	1153
48	224	1147
49	228	1142
50	232	1136
51	237	1130
52	241	1125
53	245	1120
54	250	1113
55	254	1108
56	258	1102
57	262	1096
58	267	1092
59	272	1089
60	276	1084
61	280	1078
62	285	1073
63	289	1067
64	293	1062
65	298	1058
66	302	1052
67	307	1047
68	311	1043
69	316	1039
70	321	1035
71	325	1031
72	330	1027
73	335	1024
74	339	1019
75	344	1015
76	349	1011
77	353	1006
78	358	1001
79	362	996
80	366	991
81	371	986
82	375	981
83	379	976
84	384	971
85	388	966
86	392	961
87	396	956
88	401	950
89	407	951
90	411	946
91	416	941
92	424	944
93	434	951
94	441	952
95	448	954
96	456	954
97	460	949
98	464	943
99	469	938
100	473	932
101	477	927
102	481	921
103	486	916
104	490	910
105	494	905
106	498	899
107	502	894
108	507	888
109	511	883
110	515	878
111	520	873
112	524	867
113	528	862
114	532	856
115	536	851
116	541	846
117	545	841
118	549	836
119	554	831
120	558	826
121	562	821
122	566	815
123	571	811
124	575	805
125	579	800
126	584	795
127	588	790
128	592	785
129	597	780
130	601	775
131	605	771
132	610	765
133	614	761
134	619	756
135	623	751
136	627	746
137	632	742
138	636	737
139	640	732
140	645	727
141	649	722
142	654	718
143	658	713
144	662	708
145	667	703
146	671	699
147	676	694
148	680	689
149	685	685
150	689	680
151	693	675
152	697	670
153	702	665
154	706	660
155	711	656
156	715	651
157	720	647
158	724	642
159	728	637
160	733	633
161	737	628
162	741	623
163	746	618
164	750	614
165	755	609
166	756	602
167	760	597
168	765	593
169	769	588
170	773	583
171	777	578
172	784	575
173	788	571
174	793	566
175	797	561
176	801	557
177	806	552
178	811	548
179	815	543
180	819	538
181	823	534
182	828	529
183	832	524
184	837	520
185	841	515
186	846	511
187	850	506
188	854	502
189	858	497
190	863	492
191	868	488
192	872	483
193	877	479
194	881	474
195	885	469
196	890	465
197	894	460
198	899	456
199	903	451
200	907	447
201	912	442
202	916	437
203	920	433
204	924	428
205	929	423
206	933	419
207	938	414
208	942	410
209	946	405
210	951	401
211	955	396
212	960	392
213	964	387
214	968	383
215	973	378
216	977	373
217	981	369
218	986	364
219	991	360
220	995	355
221	1000	351
222	1005	347
223	1010	342
224	1014	338
225	1019	333
226	1024	329
227	1028	324
228	1033	320
229	1037	315
230	1042	311
231	1046	306
232	1050	302
233	1054	297
234	1059	293
235	1063	288
236	1068	283
237	1072	279
238	1076	274
239	1081	270
240	1085	265
241	1089	261
242	1093	256
243	1098	252
244	1102	247
245	1107	243
246	1111	238
247	1115	233
248	1120	229
249	1124	224
250	1128	220
251	1133	215
252	1137	211
253	1141	206
254	1146	202
255	1150	197
256	1154	193
257	1159	188
258	1163	184
259	1167	179
260	1172	175
261	1176	170
262	1181	166
263	1185	161
264	1189	157
265	1194	152
266	1199	148
267	1203	143
268	1207	139
269	1211	134
270	1216	130
271	1220	125
272	1225	121
273	1229	116
274	1233	112
275	1237	107
276	1242	103
277	1246	98
278	1250	94
279	1255	89
280	1259	85
281	1263	80
282	1268	76
283	1272	71
284	1277	67
285	1281	62
286	1285	58
287	1290	53
288	1294	49
289	1298	44
290	1303	40
291	1307	35
292	1311	31
293	1317	26
294	1323	22
295	1329	17
296	1334	13
297	1339	8
298	1344	4
299	1349	0
